Economic Sector,Business Sector,Industry Group,Activity
,,,"Business, Professional & Labor Organizations"
,,,Political Organizations
,,,Non-Governmental Organizations (NGOs)
Government Activity,Government Activity,Government Activity,Government & Government Finance (NEC)
,,,Public Finance Activities
,,,Legal & Safety Public Services (NEC)
,,,"Police, Justice & Legal Counsel"
,,,Fire
,,,Government Administration Activities
,,,National Security & International Affairs
Academic & Educational Services,Academic & Educational Services,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers
,,"School, College & University","School, College & University (NEC)"
,,,Nursery & Pre-Schools
,,,Elementary & Primary Schools
,,,Colleges & Secondary Schools
,,,Universities
,,,School Districts
,,Professional & Business Education,Professional & Business Education
